STATION,NAME,LATITUDE,LONGITUDE,DATE,DEW,SLP,TMP,VIS,WND
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T00:00:00,"-0275,1","10140,1","-0056,1","030000,1,9,9","240,1,N,0070,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T03:00:00,"-0269,1","10082,1","+0002,1","030000,1,9,9","220,1,N,0070,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T06:00:00,"-0303,1","10036,1","+0042,1","030000,1,9,9","240,1,N,0070,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T09:00:00,"-0305,1","10014,1","+0039,1","026000,1,9,9","280,1,N,0090,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T12:00:00,"-0238,1","10086,1","-0012,1","011000,1,9,9","260,1,N,0030,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T18:00:00,"-0253,1","10061,1","-0059,1","030000,1,9,9","290,1,N,0030,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-03T21:00:00,"-0263,1","10071,1","-0057,1","030000,1,9,9","260,1,N,0040,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T00:00:00,"-0279,1","10164,1","-0077,1","029000,1,9,9","270,1,N,0030,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T03:00:00,"-0275,1","10189,1","-0039,1","018000,1,9,9","250,1,N,0050,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T06:00:00,"-0281,1","10171,1","-0014,1","030000,1,9,9","270,1,N,0070,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T09:00:00,"-0294,1","10135,1","-0003,1","030000,1,9,9","310,1,N,0040,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T12:00:00,"-0238,1","10239,1","-0066,1","013000,1,9,9","260,1,N,0020,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T18:00:00,"-0270,1","10241,1","-0134,1","030000,1,9,9","999,9,C,0000,5"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-04T21:00:00,"-0268,1","10227,1","-0154,1","030000,1,9,9","060,1,N,0010,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T00:00:00,"-0349,1","10215,1","-0073,1","028000,1,9,9","220,1,N,0050,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T03:00:00,"-0318,1","10202,1","-0018,1","026000,1,9,9","260,1,N,0060,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T06:00:00,"-0314,1","10212,1","+0005,1","025000,1,9,9","260,1,N,0060,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T09:00:00,"-0227,1","10220,1","-0006,1","030000,1,9,9","320,1,N,0060,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T12:00:00,"-0234,1","10178,1","-0043,1","012000,1,9,9","280,1,N,0030,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T18:00:00,"-0243,1","10167,1","-0108,1","030000,1,9,9","060,1,N,0020,1"
55279099999,"BAINGOIN, CH",31.3666666,90.0166666,2022-12-05T21:00:00,"-0277,1","10111,1","-0059,1","030000,1,9,9","230,1,N,0060,1"
